# BAM files: ~/data/SOC/SOC-2745-226696.bam, ~/data/SOC/SOC-2774-227362.bam, ~/data/SOC/SOC-5936-294158.bam, ~/data/SOC/SOC-6075-291944.bam, ~/data/SOC/SOC-6752-315581.bam, ~/data/SOC/SOC-7165-343100.bam, ~/data/SOC/SOC-7637-361542.bam, ~/data/SOC/SOC-7777-371281.bam, ~/data/SOC/SOC-8272-401299.bam, ~/data/SOC/SOC-11199-480891.bam, ~/data/SOC/SOC-849-206653.bam, ~/data/SOC/SOC-1255-501160.bam, ~/data/SOC/SOC-2427-221981.bam, ~/data/SOC/SOC-2674-224814.bam, ~/data/SOC/SOC-2742-225553.bam, ~/data/SOC/SOC-4808-260525.bam, ~/data/SOC/SOC-5439-266610.bam, ~/data/SOC/SOC-5606-277617.bam, ~/data/SOC/SOC-5653-277626.bam, ~/data/SOC/SOC-5691-278006.bam
# phenotypes: chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive
# total alignments: 14612031, 106336729, 18330606, 112217237, 14635266, 15379488, 12814697, 13461028, 17491779, 16221093, 14494734, 13801318, 14949521, 18045259, 17407390, 15334240, 14903259, 13804476, 18588809, 18601214
# annotations: /home/cwarth/R/x86_64-unknown-linux-gnu-library/3.0/qarp/python/hg19-refSeq-union.gtf
# gene count: 16897
# interactive: FALSE
# commandline: --genefile /home/cwarth/data/SOC/genelist.txt
# date: 2013-11-15 09:48:38
gene	raw	rpm	area
EAF1	0.36	0.016	0.022
EEA1	0.703	0.137	0.731
FAM120AOS	0.425	0.229	0.675
FAM193A	0.293	0.23	0.027
FASTKD1	0.567	0.229	0.296
FBLIM1	0.036	0.043	0.314
GEMIN5	0.321	0.308	0.033
MIR320B2:NVL	0.45	0.026	0.034
MRPL11	0.434	0.129	0.384
NT5C3L	0.129	0.635	0.091
OSBPL1A	0.458	0.518	0.756
PDCD10	0.923	0.006	0.323
PEX2	0.466	0.153	0.563
PGRMC2	0.622	0.022	0.444
PIK3R4	0.402	0.186	0.17
PRPF3	0.355	0.554	0.173
RHOBTB2	0.004	0.008	0.293
STAP2	0.033	0.398	0.027
TECPR1	0.816	0.609	0.449
TUB	0.183	0.396	0.983
UTP6	0.441	0.054	0.26
VAT1	0.162	0.779	0.073
ANKRD13D	0.038	0.254	0.04
ARHGEF25	0.037	0.078	0.494
C14orf80	0.105	0.099	0.682
CD97	0.466	0.853	0.41
CDH23	0.001	0.001	0.41
CES2	0.219	0.702	0.353
CMBL	0.014	0.026	0.507
DNAJC2	0.39	0.168	0.055
ISY1	0.362	0.369	0.11
MASTL	0.173	0.535	0.318
MRPS27	0.091	0.489	0.023
NFIA	0.108	0.626	0.131
NPAT	0.558	0.571	0.752
NSUN5	0.054	0.079	0.084
PAFAH1B3	0.355	0.617	0.594
PCIF1	0.062	0.393	0.186
PCK2	0.174	0.038	0.003
PDZD8	0.42	0.276	0.267
PLAU	0.49	0.668	0.113
SETD6	0.565	0.023	0.377
SLC39A6	0.229	0.601	0.04
TMEM132A	0.126	0.39	0.178
VPS8	0.259	0.525	0.128
AGAP8:LOC728407:PARG	0.285	0.517	0.614
BLVRA	0.737	0.345	0.511
CCDC120	0.319	0.622	0.025
CLMN	0.313	0.291	0.025
GNA12	0.012	0.032	0.123
GNPTG	0.037	0.347	0.128
GRB10	0.115	0.438	0.398
MAP2K3	0.359	0.451	0.4
ORMDL1	0.588	0.009	0.634
OSR1*	0.013	0.024	0.476
P4HTM	0.177	0.984	0.615
PADI2	0.022	0.113	0.004
PARP2	0.703	0.137	0.482
PRSS23	0.32	0.075	0.182
QKI	0.261	0.452	0.212
SRXN1	0.431	0.077	0.012
TBK1	0.752	0.019	0.747
TYW1	0.055	0.181	0.137
WDR61	0.552	0.004	0.035
AFAP1L1	0.727	0.908	0.017
ARHGAP27	0.456	0.219	0.203
BFAR	0.269	0.044	0.011
C10orf76	0.153	0.299	0.124
C16orf42	0.042	0.297	0.138
C19orf42	0.298	0.432	0.13
CARD11	0.537	0.68	0.505
HEATR2	0.033	0.225	0.347
IFT80	0.209	0.668	0.346
KRT17	0.085	0.138	0.115
MKKS	0.638	0.032	0.234
PDP1	0.217	0.844	0.228
PEX26	0.429	0.005	0.003
PLIN2	0.217	0.538	0.037
POTEM	0.294	0.646	0.213
RNF14	0.686	0.121	0.19
SHPK:TRPV1	0.199	0.348	0.083
SLC30A9	0.525	0.013	0.081
TERF2	0.21	0.292	0.164
TMEM47	0.086	0.345	0.325
TRAPPC9	0.412	0.013	0.004
ZFPL1	0.122	0.57	0.315
ZNF337	0.54	0.172	0.173
ARHGEF16	0.075	0.527	0.598
ATOX1	0.427	0.058	0.141
BAHD1	0.296	0.652	0.593
C11orf49	0.151	0.406	0.007
CDCA3	0.229	0.586	0.405
CNST	0.226	0.856	0.206
CRNKL1	0.377	0.223	0.033
CWC15	0.339	0.333	0.143
DDR2	0.035	0.199	0.031
GINS1	0.483	0.155	0.125
GOLM1	0.418	0.158	0.04
LRRN4	0.01	0.017	0.504
MT1F	0.676	0.495	0.032
RFNG	0.04	0.33	0.267
SIGLEC1	0.282	0.024	0.821
SLC20A1	0.552	0.065	0.545
SSBP4	0.029	0.125	0.044
C2orf55	0.112	0.692	0.622
CCDC59	0.554	0.044	0.087
CKAP2	0.475	0.092	0.542
CUL9	0.549	0.084	0.404
FAM178A	0.246	0.725	0.422
FBXO42	0.172	0.88	0.694
GMPPB	0.238	0.421	0.305
IPO13	0.468	0.222	0.167
MACC1	0.083	0.062	0.154
NDUFAF3	0.203	0.672	0.26
NOC3L	0.286	0.503	0.12
PTTG1	0.758	0.599	0.079
RCOR2	0.004	0.011	0.341
TAF5L	0.576	0.216	0.402
THOC2	0.331	0.004	0.242
ATG2B	0.234	0.236	0.007
BCKDK	0.09	0.582	0.188
C14orf1	0.439	0.231	0.286
ELOVL1	0.691	0.053	0.139
IL17RA	0.31	0.544	0.456
INTS4	0.275	0.403	0.011
KBTBD2	0.558	0.122	0.503
MAPKBP1	0.063	0.328	0.085
METAP1:MIR3684	0.63	0.006	0.21
MIR3145:NHSL1	0.103	0.461	0.641
NT5C1B:NT5C1B-RDH14:RDH14	0.153	0.215	0.049
PIGM	0.153	0.235	0.097
PPP2R2D	0.065	0.489	0.097
PTGDS	0.516	0.472	0.331
RFTN1	0.61	0.741	0.208
RNASEH2A	0.139	0.556	0.053
TGFBR1	0.085	0.596	0.121
TMED1	0.002	0.179	0.904
VASH1	0.122	0.596	0.371
ZFAND1	0.497	0.211	0.229
ZNF511	0.013	0.106	0.692
ARG2	0.452	0.078	0.129
ARL16	0.432	0.065	0.593
ATPAF1	0.701	0.014	0.197
DDIT3	0.583	0.32	0.059
EHD2	0.036	0.229	0.036
IBTK	0.471	0.016	0.269
JRK	0.565	0.035	0.207
KLC2	0.039	0.561	0.264
LOC283335	0.308	0.256	0.017
MAP2K7	0.059	0.481	0.122
METTL5	0.507	0.023	0.053
PAK1IP1	0.751	0.024	0.408
PHACTR2	0.217	0.528	0.445
PLDN	0.386	0.098	0.134
PPTC7	0.193	0.272	0.093
STK17A	0.444	0.542	0.283
TMTC2	0.389	0.412	0.504
TRUB2	0.139	0.717	0.153
UNC13D	0.11	0.66	0.686
URM1	0.317	0.077	0.025
ZNF507	0.33	0.704	0.523
AKR1B1	0.306	0.423	0.244
ALDH16A1	0.503	0.075	0.107
APEX2	0.169	0.857	0.34
BRI3BP	0.526	0.713	0.393
COPS5	0.543	0.021	0.079
EGFL6	0.499	0.532	0.694
ELOF1	0.004	0.113	0.358
FAM96B	0.151	0.968	0.851
KCTD11	0.09	0.329	0.181
KIAA0467	0.441	0.338	0.262
KIF20A	0.481	0.747	0.176
LEPROTL1	0.213	0.642	0.329
LRRFIP2	0.81	0.065	0.101
NRAS	0.36	0.271	0.039
OBFC2B	0.235	0.381	0.033
OSBPL10	0.397	0.634	0.58
PKN2	0.403	0.119	0.125
RBM7	0.306	0.361	0.091
SHB	0.116	0.529	0.046
SLC37A1	0.288	0.494	0.008
SNX30	0.15	0.025	0.032
TBC1D13	0.161	0.481	0.207
THTPA	0.783	0.362	0.166
VBP1	0.445	0.051	0.395
ATP6V0B	0.697	0.016	0.105
CEP290	0.228	0.71	0.385
CYB5A	0.197	0.882	0.279
ELL	0.116	0.708	0.226
EXOSC4	0.411	0.074	0.121
FAM176B	0.015	0.107	0.405
FLJ10038:GABPB1	0.394	0.304	0.402
GPCPD1	0.417	0.085	0.008
GZF1	0.195	0.554	0.087
HAGHL	0.026	0.185	0.064
HERC5	0.082	0.036	0.105
HMMR	0.624	0.257	0.734
LEPR:LEPROT	0.335	0.187	0.004
MRPL19	0.48	0.03	0.366
MRPL32	0.461	0.322	0.171
MRPL41	0.531	0.395	0.317
MRPS9	0.194	0.524	0.077
PCNXL2	0.293	0.415	0.06
PIAS3	0.265	0.486	0.233
PRR14	0.028	0.163	0.079
RPA2	0.17	0.608	0.074
SGPP2	0.102	0.464	0.195
SLC27A1	0.016	0.036	0.303
SLC27A4	0.276	0.383	0.01
TRIM66	0.041	0.025	0.073
UTP20	0.282	0.469	0.109
ZFP64	0.148	0.354	0.069
CDK5RAP1	0.166	0.581	0.116
DHDDS	0.174	0.469	0.051
FAN1	0.367	0.457	0.35
GLRX3	0.496	0.14	0.096
KTI12:TXNDC12	0.678	0.014	0.034
LANCL1	0.19	0.857	0.524
MID1	0.714	0.099	0.434
MORC3	0.177	0.925	0.51
MXD1	0.267	0.278	0.136
NOMO1	0.137	0.408	0.441
NPM3	0.078	0.392	0.025
NUBP2	0.08	0.482	0.037
PAN3	0.246	0.896	0.239
PTGR1	0.195	0.012	0.427
RIPK2	0.351	0.023	0.037
SMAP2	0.742	0.164	0.603
SRA1	0.163	0.598	0.044
SYF2	0.329	0.507	0.59
UHRF1	0.51	0.447	0.079
VAMP2	0.091	0.12	0.119
XIAP	0.122	0.003	0.008
XRN1	0.283	0.007	0.012
YRDC	0.352	0.637	0.543
ZNF623	0.651	0.009	0.138
ACAP2	0.468	0.03	0.068
ASB1	0.163	0.201	0.104
C10orf137	0.223	0.853	0.351
C7orf27	0.019	0.123	0.124
CCDC130	0.009	0.17	0.093
CIDEB	0.201	0.949	0.478
FGFR1OP2	0.573	0.862	0.726
ITSN2	0.377	0.248	0.028
KALRN	0.194	0.452	0.403
KCNH2	0.286	0.922	0.315
LOC144438	0.348	0.435	0.501
MTM1	0.794	0.104	0.345
NSA2	0.257	0.954	0.174
PELI1	0.27	0.677	0.011
PRPF39:SNORD127	0.53	0.012	0.289
PRUNE	0.301	0.512	0.167
RAD52	0.182	0.708	0.672
SDHAF2	0.45	0.175	0.643
SEC61G	0.567	0.178	0.405
SNX2	0.485	0.371	0.165
TAF11	0.472	0.007	0.497
TECPR2	0.231	0.144	0.025
TRERF1	0.3	0.288	0.004
UBE2V2	0.68	0.041	0.764
USP20	0.417	0.186	0.047
CPSF3	0.407	0.678	0.265
CSRP2BP:PET117	0.407	0.21	0.248
DENND4C	0.357	0.713	0.381
FOXP4	0.403	0.642	0.069
GALNT10	0.012	0.046	0.128
HDHD3	0.243	0.067	0.209
INTS10	0.285	0.589	0.052
KIAA1432	0.485	0.339	0.025
MFAP3	0.156	0.627	0.035
NOC4L	0.016	0.057	0.005
SACM1L	0.728	0.055	0.814
SSPN	0.346	0.256	0.793
TWF2	0.396	0.326	0.04
VCAN	0.525	0.848	0.751
ZBTB46	0.411	0.666	0.057
ACBD7	0.041	0.046	0.092
BAG3	0.187	0.42	0.027
CLK1	0.202	0.897	0.292
DOCK4	0.108	0.459	0.039
FAM177A1	0.342	0.019	0.007
FUZ	0.37	0.294	0.014
IFT172	0.255	0.649	0.298
KIAA0196	0.559	0.004	0.125
LOC388692	0.291	0.518	0.037
OCRL	0.725	0.006	0.125
PARP11	0.211	0.508	0.236
PFDN1	0.253	0.354	0.018
PSMD11	0.512	0.103	0.078
SETD7	0.8	0.187	0.55
SKP2	0.153	0.497	0.363
SLC29A3	0.115	0.884	0.489
SOS2	0.56	0.004	0.06
TUSC3	0.067	0.09	0.185
ZNF646	0.018	0.133	0.564
BCL2L11	0.337	0.499	0.185
CASP8	0.463	0.024	0.083
CDS2	0.409	0.25	0.181
CHAF1A	0.408	0.146	0.032
GPRIN2	0.323	0.921	0.806
MSL3	0.714	0.003	0.549
MTPAP	0.44	0.011	0.161
MUSTN1:TMEM110:TMEM110-MUSTN1	0.326	0.562	0.556
NR2C1	0.523	0.152	0.349
POLA2	0.332	0.213	0.155
POLR2D	0.44	0.164	0.299
PPIL2	0.483	0.398	0.668
RASA3	0.027	0.05	0.798
RPS6KA3	0.202	0.219	0.033
SMAD1	0.437	0.01	0.037
SMG6	0.271	0.213	0.023
SNHG7:SNORA17:SNORA43	0.105	0.589	0.277
ZFYVE19	0.581	0.139	0.531
ZNF862	0.274	0.917	0.451
BAD	0.025	0.124	0.121
BAI2:MIR4254	0.004	0.027	0.489
BICD2	0.179	0.363	0.09
C10orf58	0.347	0.461	0.085
C16orf70	0.186	0.677	0.083
C6orf72	0.651	0.041	0.18
CAPN3:GANC	0.776	0.289	0.607
CHMP5	0.775	0.076	0.064
CYP20A1	0.027	0.028	0.016
DPM2	0.065	0.522	0.445
ECD	0.497	0.187	0.156
EDEM1	0.506	0.081	0.01
ERCC6:PGBD3	0.519	0.288	0.996
HAGH	0.053	0.355	0.03
HSPB8	0.014	0.051	0.007
LOC100507217	0.594	0.087	0.079
MAST3	0.055	0.436	0.189
NSMCE4A	0.377	0.32	0.598
PHF23	0.234	0.378	0.149
RABGGTA	0.151	0.494	0.01
SF3B5	0.375	0.288	0.49
SLC15A2	0.303	0.13	0.16
TIPRL	0.478	0.054	0.382
TM2D2	0.076	0.257	0.07
TSFM	0.46	0.048	0.008
TTC28	0.428	0.515	0.128
UBE2J1	0.692	0.006	0.054
WDR81	0.378	0.318	0.086
XPC	0.206	0.341	0.041
YIF1B	0.746	0.371	0.58
ANKRD40	0.215	0.232	0.009
C5orf4	0.009	0.048	0.015
COMTD1	0.631	0.481	0.073
DCTPP1	0.387	0.339	0.361
DHX33	0.425	0.31	0.302
DNASE1L1	0.301	0.752	0.145
FBXW5	0.699	0.54	0.515
FJX1	0.432	0.145	0.479
FKBP5:LOC285847	0.455	0.115	0.112
FXYD3	0.586	0.124	0.38
GPN1	0.339	0.402	0.067
HDAC11	0.095	0.435	0.154
LYPLA1	0.7	0.009	0.327
MRRF	0.678	0.017	0.04
NDST2	0.317	0.344	0.259
NDUFS7	0.213	0.828	0.336
NOP14	0.556	0.01	0.08
ORMDL3	0.202	0.208	0.019
RRAGC	0.651	0.168	0.259
RSAD1	0.174	0.812	0.366
SAMD12	0.784	0.165	0.11
SLC35A5	0.315	0.285	0.013
SRGN	0.041	0.025	0.075
TBC1D23	0.445	0.007	0.179
ZNF302	0.193	0.932	0.367
AP1M1	0.013	0.151	0.157
BMP1	0.082	0.254	0.351
C10orf2	0.447	0.091	0.026
C14orf21	0.16	0.85	0.362
C2orf67	0.452	0.15	0.029
CCND3	0.661	0.07	0.211
CECR1	0.415	0.103	0.02
FBF1	0.029	0.364	0.133
JAK3	0.096	0.359	0.034
KDM4C	0.758	0.303	0.745
MRPS22	0.615	0.03	0.115
NCAPH	0.492	0.272	0.184
PLAA	0.779	0.005	0.245
PPP1R8:SCARNA1	0.14	0.679	0.467
RASAL2	0.465	0.146	0.112
RPAIN	0.317	0.395	0.028
SAMD1	0.279	0.504	0.021
SEC24B	0.388	0.29	0.247
TGFBRAP1	0.138	0.586	0.351
TIMM44	0.152	0.633	0.083
TMEM63B	0.712	0.457	0.115
TP53INP1	0.657	0.004	0.601
TTC31	0.186	0.716	0.389
USP33	0.457	0.02	0.023
WDR12	0.473	0.005	0.081
ANXA3	0.695	0.133	0.066
C1orf25	0.274	0.869	0.429
C2orf18	0.078	0.175	0.2
COMMD4	0.332	0.198	0.032
CRISPLD2	0.017	0.113	0.204
CYB5D1	0.104	0.234	0.449
DDX12	0.031	0.058	0.099
DFFA	0.027	0.081	0.047
EMB	0.125	0.069	0.095
ENDOG	0.14	0.832	0.167
FAM129A	0.195	0.153	0.097
FAM96A	0.703	0.008	0.263
GABPA	0.321	0.225	0.086
GTF2H1	0.338	0.422	0.105
GTPBP3	0.054	0.421	0.242
HEXB	0.586	0.28	0.602
IL17RC	0.076	0.384	0.15
NOS3	0.373	0.984	0.15
OXR1	0.777	0.282	0.749
PHF19	0.491	0.394	0.033
PIGC	0.421	0.102	0.025
RABEP1	0.325	0.336	0.139
ROCK2	0.216	0.498	0.017
SCARNA20:USP32	0.471	0.06	0.025
TERF1	0.099	0.169	0.036
TPCN2	0.482	0.086	0.461
WDHD1	0.735	0.055	0.882
XIST	0.684	0.598	0.11
CCDC97	0.444	0.078	0.081
CLN3	0.214	0.278	0.07
CP110	0.13	0.42	0.169
DEF8	0.087	0.727	0.457
FBXL6	0.87	0.031	0.825
FCGR3A	0.755	0.804	0.185
FTSJ1	0.306	0.872	0.144
GCFC1	0.698	0.217	0.406
HIVEP2	0.432	0.064	0.16
KCTD5	0.186	0.414	0.084
KIF3C	0.029	0.226	0.187
LRTOMT	0.225	0.03	0.075
MIR3658:UCK2	0.361	0.465	0.228
MNT	0.32	0.223	0.049
MRPS30	0.477	0.014	0.011
NAGA	0.438	0.419	0.215
OXCT1	0.7	0.382	0.656
PEX16	0.077	0.526	0.05
PTGR2	0.335	0.26	0.258
RAB20	0.145	0.798	0.238
RCAN1	0.256	0.796	0.428
RLIM	0.425	0.117	0.088
SESN2	0.209	0.622	0.175
SFI1	0.735	0.045	0.153
TCEAL4	0.157	0.713	0.305
TPPP3	0.147	0.438	0.67
TTC8	0.107	0.644	0.03
AIMP2	0.267	0.431	0.11
AMMECR1L	0.42	0.122	0.11
ANKS3	0.023	0.418	0.367
ASCC3	0.722	0.037	0.754
ATXN7L1	0.105	0.582	0.401
BACH1	0.256	0.559	0.232
C12orf62	0.449	0.053	0.01
C14orf167	0.246	0.984	0.402
C3orf26	0.482	0.063	0.311
C5orf42	0.453	0.488	0.286
CSF1	0.277	0.996	0.445
CWF19L1:SNORA12	0.314	0.178	0.044
CXADR	0.399	0.708	0.313
DHX32	0.465	0.105	0.378
ICT1	0.34	0.444	0.277
KLF3	0.113	0.69	0.164
LLGL1	0.098	0.185	0.166
LOC100499466	0.364	0.13	0.006
LOC338799	0.008	0.012	0.199
LSM7	0.252	0.209	0.025
MARVELD1	0.003	0.009	0.033
MRPL21	0.332	0.267	0.304
MYO6	0.278	0.006	0.117
NOTCH2NL	0.65	0.936	0.137
PIK3CD	0.072	0.564	0.607
SNRNP35	0.457	0.263	0.152
TERF2IP	0.289	0.593	0.409
TMEM161A	0.092	0.449	0.049
TTLL4	0.219	0.205	0.073
UBXN2B	0.348	0.087	0.043
ZDHHC18	0.23	0.321	0.046
ACBD6:MIR3121	0.651	0.018	0.148
C11orf1	0.061	0.388	0.423
C15orf42	0.257	0.171	0.02
C5orf30	0.317	0.422	0.074
CALML4	0.014	0.056	0.039
CD14	0.577	0.422	0.162
CES3	0.296	0.535	0.331
CNOT4	0.646	0.097	0.231
DTYMK	0.438	0.34	0.348
ENY2	0.13	0.001	0.018
GCC1	0.294	0.19	0.099
LSM3	0.533	0.002	0.139
MPG	0.006	0.185	0.453
PIKFYVE	0.464	0.043	0.24
RALGPS1	0.141	0.518	0.03
RASSF1	0.161	0.323	0.005
SCARF2	0.084	0.3	0.372
SELS	0.669	0.1	0.217
TRMT6	0.426	0.324	0.848
UBB	0.274	0.182	0.039
ABCA11P:ZNF721	0.718	0.139	0.133
ARHGAP33	0.017	0.146	0.473
CCDC92	0.056	0.172	0.048
DBT	0.177	0.253	0.039
DDX19A	0.409	0.079	0.015
ERV3:ZNF117	0.059	0.164	0.017
LRFN4	0.248	0.622	0.315
MEIS2	0.377	0.428	0.032
MRFAP1L1	0.502	0.089	0.102
MRPS12	0.552	0.16	0.152
NDUFV3	0.452	0.377	0.356
NME3	0.063	0.322	0.192
PIGY	0.491	0.108	0.028
PLK1	0.409	0.416	0.228
SH3BGRL	0.499	0.481	0.196
STK16	0.088	0.066	0.005
TMEM98	0.025	0.025	0.154
TSEN34	0.31	0.1	0.005
TTC1	0.503	0.289	0.251
TTC21B	0.107	0.14	0.004
ZNF131	0.624	0.055	0.356
ASF1B	0.776	0.114	0.09
CTTNBP2NL	0.276	0.231	0.002
GOSR2	0.359	0.385	0.6
HLA-DRB5	0.261	0.06	0.5
ILDR1	0.33	0.453	0.22
KLC4	0.428	0.105	0.044
MTMR14	0.425	0.076	0.082
NINJ1	0.08	0.559	0.083
PDZRN3	0.015	0.064	0.087
PITX1	0.833	0.477	0.656
REEP4	0.388	0.112	0.078
SERTAD2	0.228	0.437	0.168
SIRPA	0.306	0.773	0.06
TDP1	0.46	0.108	0.166
TMEM111	0.42	0.085	0.294
TTL	0.254	0.473	0.059
WDR54	0.018	0.058	0.172
ZFYVE20	0.275	0.116	0.058
ARL13B	0.317	0.722	0.514
ARMC7	0.117	0.594	0.408
C12orf4	0.553	0.091	0.242
C16orf7	0.219	0.837	0.604
C9orf100	0.316	0.576	0.372
FXC1	0.059	0.086	0.034
FZD7	0.131	0.351	0.05
GALM	0.12	0.115	0.047
GOLGA8B:MIR1233-1:MIR1233-2	0.384	0.426	0.467
ICAM4	0.107	0.186	0.027
IGBP1	0.123	0.805	0.345
INO80B	0.214	0.656	0.426
KLHDC8B	0.065	0.273	0.6
MIR708:ODZ4	0.117	0.465	0.226
MRPL16	0.331	0.329	0.099
NECAP2	0.199	0.585	0.261
PHF17	0.271	0.487	0.113
PISD	0.17	0.003	0.362
SLC30A6	0.253	0.789	0.256
SMPD1	0.024	0.145	0.261
SNAP29	0.179	0.131	0.018
ZNF518A	0.284	0.451	0.141
ALDH3B2	0.184	0.124	0.131
ARHGEF9	0.097	0.064	0.004
DRD4	0.058	0.121	0.821
EXD2	0.359	0.275	0.258
GEN1	0.408	0.09	0.035
LIF	0.154	0.541	0.14
LMCD1	0.176	0.533	0.015
LOC100289019	0.212	0.423	0.122
LTN1	0.231	0.482	0.079
LYZ	0.087	0.035	0.022
MUL1	0.003	0.256	0.075
NEDD9	0.268	0.543	0.138
PRKRIP1	0.306	0.222	0.01
RAP2A	0.267	0.539	0.167
SALL2	0.116	0.29	0.21
SCG5	0.534	0.934	0.026
SLC30A1	0.205	0.737	0.335
SNAPC4	0.341	0.282	0.001
SPNS1	0.341	0.427	0.456
SPPL2A	0.351	0.005	0.145
SQRDL	0.142	0.075	0.375
TMEM41A	0.33	0.093	0.077
VPS37C	0.192	0.416	0.179
ALKBH7	0.062	0.276	0.261
C6orf108	0.863	0.012	0.812
FADD	0.299	0.02	0.005
GAS2L1	0.182	0.598	0.152
HELZ	0.442	0.055	0.348
HPS6	0.249	0.276	0.08
MTG1	0.351	0.296	0.221
POLD3	0.731	0.097	0.074
RAD54L2	0.324	0.784	0.556
TAF6L	0.024	0.206	0.055
TBCB	0.257	0.618	0.007
TMEM185B	0.292	0.645	0.248
TSHZ2	0.018	0.132	0.376
UBA5	0.708	0.016	0.125
VPS4B	0.367	0.198	0.004
ZNF331	0.144	0.403	0.154
AKAP1	0.312	0.361	0.145
ALKBH2	0.305	0.489	0.185
ARID5A	0.144	0.639	0.02
ATL3	0.57	0.07	0.285
C20orf20	0.476	0.32	0.155
C5orf15	0.095	0.472	0.073
CDS1	0.462	0.033	0.058
CIR1	0.607	0.04	0.143
CLCC1	0.185	0.431	0.025
DHX16	0.472	0.073	0.146
FABP6*	0.836	0.903	0.142
FBXL5	0.66	0.035	0.204
FSCN1	0.029	0.116	0.012
HEATR5B	0.327	0.388	0.517
IGHMBP2	0.452	0.031	0.288
ILKAP	0.445	0.02	0.058
KIAA1161	0.207	0.666	0.3
KIAA1543	0.041	0.29	0.348
LANCL2	0.251	0.503	0.064
LARP7	0.58	0.029	0.347
LOC100130633	0.311	0.599	0.357
LYRM2	0.51	0.037	0.081
MBD2:SNORA37	0.413	0.005	0.053
MLH3	0.42	0.11	0.326
MMP19	0.055	0.531	0.443
PDE7A	0.359	0.427	0.091
RGL2	0.488	0.021	0.019
SLC39A10	0.321	0.675	0.13
SLC48A1	0.261	0.512	0.076
TEF	0.015	0.099	0.032
TESK1	0.251	0.548	0.06
TICAM2:TMED7:TMED7-TICAM2	0.531	0.144	0.141
ZNF185	0.361	0.912	0.567
ZNF292	0.557	0.445	0.314
ACTR8	0.513	0.016	0.055
ANAPC13	0.46	0.178	0.745
ASB13	0.194	0.705	0.384
C1orf161	0.129	0.135	0.71
C5orf51	0.378	0.195	0.269
C6orf132	0.478	0.084	0.229
DDAH1	0.24	0.967	0.826
FAM40A	0.132	0.607	0.175
GLT8D1	0.263	0.092	0.001
GOLGA2B	0.049	0.104	0.026
IKBKG	0.354	0.499	0.256
KIF18B	0.18	0.78	0.964
LRRC16A	0.329	0.014	0.136
MAP3K7	0.343	0.205	0.059
MIR548C:RASSF3	0.116	0.283	0.008
PDCD2	0.759	0.001	0.504
PRR11	0.216	0.262	0.032
RBM12B	0.558	0.018	0.109
RRM2	0.355	0.084	0.148
SFXN4	0.377	0.415	0.33
SIRT3	0.018	0.179	0.231
SLC40A1	0.912	0.746	0.418
VSIG2*	0.143	0.536	0.967
AKR7A2	0.017	0.145	0.019
ATP6V1H	0.587	0.017	0.157
ATP8B2	0.007	0.012	0.149
BTBD10	0.141	0.73	0.424
C12orf47	0.318	0.355	0.208
CCDC96:LOC100129931	0.22	0.209	0.06
CDC42SE2	0.686	0.097	0.355
DHRS1	0.338	0.615	0.721
ETV3	0.013	0.099	0.176
FAM21C	0.462	0.095	0.081
FEM1B	0.38	0.311	0.464
GFOD2	0.02	0.024	0.007
HIBADH	0.538	0.195	0.262
HSPA1A	0.401	0.276	0.118
ICAM3	0.345	0.206	0.011
INTS6	0.315	0.256	0.149
KIAA0753	0.292	0.213	0.017
KIF15	0.502	0.246	0.209
MIR1227:PLEKHJ1	0.456	0.114	0.243
PRKD3	0.073	0.286	0.011
RAP1GAP2	0.078	0.451	0.277
RNF5:RNF5P1	0.67	0.038	0.376
SMC5	0.303	0.217	0.039
TBCE	0.231	0.375	0.002
TMEM136	0.18	0.495	0.077
TXLNG	0.724	0.29	0.352
TXNDC16	0.336	0.661	0.562
VANGL1	0.293	0.53	0.142
ZSCAN29	0.38	0.019	0.042
C1orf174	0.126	0.129	0.125
CASKIN1	0.185	0.506	0.083
CD55	0.799	0.086	0.074
CNOT10	0.465	0.007	0.009
DMXL2	0.225	0.127	0.02
FAF1	0.531	0.287	0.245
GAA	0.156	0.473	0.038
JMJD4	0.38	0.289	0.181
LRDD	0.001	0.019	0.297
MAP7	0.705	0.099	0.634
MKRN2	0.41	0.076	0.174
NDUFB1	0.344	0.008	0.007
NGLY1	0.679	0.062	0.082
PPFIBP2	0.182	0.776	0.032
PTP4A3	0.424	0.486	0.194
RRS1	0.271	0.131	0.003
SDCCAG3	0.47	0.233	0.152
SHISA9	0.133	0.537	0.559
SLC45A4	0.822	0.094	0.089
SLC6A12	0.62	0.925	0.553
THUMPD1	0.126	0.611	0.025
TTC9C	0.245	0.902	0.75
UBQLN2	0.293	0.574	0.488
ZNF622	0.151	0.031	0.011
AGPAT5	0.342	0.456	0.411
APCDD1	0.01	0.038	0.032
C11orf80:RCE1	0.276	0.684	0.527
C1orf226	0.181	0.666	0.134
CDH24	0.1	0.357	0.304
CEP192	0.476	0.043	0.723
CROCC	0.032	0.195	0.194
GALK1	0.428	0.607	0.347
GTF3C6	0.497	0.114	0.169
HSPA1B	0.387	0.253	0.072
